               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022408,           0.0078652,           0.0066168,             0.99843,             0.99688,               0.995,             0.77766,            0.017808,           0.0026424,          0.00066358,            0.006535,            0.006535,            0.006535
                  37,             0.02222,           0.0077949,           0.0061461,             0.99863,             0.99826,               0.995,             0.78177,            0.017547,           0.0026159,          0.00046357,            0.006436,            0.006436,            0.006436
                  38,            0.022295,           0.0077446,           0.0062325,             0.99823,             0.99937,               0.995,             0.78065,            0.017536,           0.0026286,           0.0005298,            0.006337,            0.006337,            0.006337
                  39,            0.022233,            0.007704,           0.0060983,             0.99753,             0.99912,               0.995,             0.78412,            0.017602,           0.0026133,          0.00046418,            0.006238,            0.006238,            0.006238
                  40,            0.022068,           0.0076134,           0.0058386,              0.9981,             0.99882,               0.995,             0.78652,            0.017202,           0.0025897,          0.00050797,            0.006139,            0.006139,            0.006139
                  41,            0.021885,           0.0076798,           0.0058794,             0.99828,             0.99931,               0.995,             0.78731,            0.017144,           0.0025786,          0.00039702,             0.00604,             0.00604,             0.00604
                  42,            0.021829,            0.007652,           0.0055428,             0.99728,             0.99913,             0.99497,             0.78575,            0.017268,           0.0025705,          0.00057017,            0.005941,            0.005941,            0.005941
                  43,            0.021441,           0.0075673,           0.0054169,             0.99877,             0.99994,               0.995,             0.78603,            0.017355,           0.0026092,          0.00041186,            0.005842,            0.005842,            0.005842
                  44,            0.021539,           0.0074592,           0.0055485,             0.99901,              0.9994,               0.995,              0.7769,             0.01791,           0.0026444,          0.00040201,            0.005743,            0.005743,            0.005743
                  45,            0.021349,           0.0076394,           0.0058652,             0.99812,             0.99965,               0.995,             0.78386,            0.017245,            0.002562,          0.00036727,            0.005644,            0.005644,            0.005644
                  46,            0.021235,           0.0075467,           0.0052671,             0.99856,             0.99931,               0.995,             0.79021,            0.017067,           0.0025603,          0.00043495,            0.005545,            0.005545,            0.005545
                  47,            0.020922,           0.0074956,           0.0057297,             0.99887,             0.99967,               0.995,             0.78735,            0.017168,           0.0025377,          0.00037905,            0.005446,            0.005446,            0.005446
                  48,            0.021131,           0.0074138,            0.005567,              0.9987,              0.9988,               0.995,              0.7906,            0.017159,           0.0025675,          0.00043222,            0.005347,            0.005347,            0.005347
                  49,            0.020925,           0.0073862,           0.0051017,             0.99718,              0.9993,               0.995,             0.79148,            0.016989,           0.0025243,          0.00041826,            0.005248,            0.005248,            0.005248
                  50,            0.021059,            0.007477,           0.0054515,             0.99901,             0.99931,               0.995,             0.79716,            0.016826,           0.0025357,          0.00038942,            0.005149,            0.005149,            0.005149
